channel name,channel id,video name,video id,Comment Count
21 Savage,UCOjEHmBKwdS7joWpW0VrXkg,21 Savage - a lot (Official Video) ft. J. Cole,DmWWqogr_r8,155946.0
2CELLOS,UCyjuFsbclXyntSRMBAILzbw,2CELLOS - Thunderstruck [OFFICIAL VIDEO],uT3SBzmDxGk,92896.0
4NonBlondesVEVO,UCJsu1rqVUJckZ-nSTLIWjcg,4 Non Blondes - What's Up (Official Music Video),6NXnxTNIWkc,235077.0
50CentVEVO,UC0sL86jDLgs2fGRD-XBnPQA,50 Cent - In Da Club (Official Music Video),5qm8PH4xAss,388896.0
5FDPVEVO,UC_fN8QapvzsTxrddAN3w9tw,Five Finger Death Punch - Wrong Side Of Heaven,o_l4Ab5FRwM,118533.0
5SOSVEVO,UClesqLjeKJd-dG8xLfzJyCQ,5 Seconds of Summer - She Looks So Perfect,X2BYmmTI04I,133559.0
AFernandezVEVO,UCIYJxVaMrBhTDiM5CWHCzIQ,Alejandro Fernández - Hoy Tengo Ganas De Ti ft. Christina Aguilera,Z81hsLIY1sQ,54551.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Super Mario Surprise Toys Opening - Unboxing Video,AuPZJmDEwrU,3350.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Super Smash Bros. Ultimate - All Amiibo - Music by SSBU Main Theme Lifelight (Metal Ver.) スマブラ アミーボ,snL0nnqfq9c,2234.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Mario Kart Toys HUGE Opening And Playing - Super Mario Unboxing,tFKce7q-dYQ,1520.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon - Pokken Tournament Figure Collection Unboxing ポッ拳,4Q9zWtXntPQ,1431.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon PokéBall Collection Special Limited Edition,agjB2wD5mfQ,1385.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon the movie merchandise - Mewtwo Strikes Back Evolution,iUywgAMMZKk,1069.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Easter Eggs and School Bag,BVwgxHPmf0M,729.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Halloween Costume Plush - TRICK OR TREAT - Pokemon Toys,Q6qGki93A-E,694.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Battle Colosseum,oAyqQkFkrnU,554.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Lillie Figure Collection Unboxing,M06y1fGz8vU,499.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Alola! Pokemon Terrarium Collection Unboxing #2 | RE-MENT ポケモン テラリウム,umP7YGtTVGc,469.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Kawaii♡ Pokemon Miniatures | Eevee and Friends | Re-Ment Candy Toy - Blind Boxes Unboxing!,T216v4zNBT4,462.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Crane Game,BJngFZcn7Cs,455.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Sun and Moon - Melemele Island School,WNSnCr4IiTY,363.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Japanese Pikachu Figure Collection | Pokemon Center TOKYO DX,Ikn8DDtwMCI,324.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Toys Lumiose City,zTD4QuklKCo,290.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,"Pokemon Build ""BANDAI SHODO 2"" Greninja , Scizor , Mimikyu , Metagross　ポケモン 食玩 掌動",HqDRgrIR_2Y,283.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Card | Charisma of the Wrecked Sky | Booster BOX Opening!,qDib4_uBsFI,272.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Lumiose City Nimbasa City Mechanism Castle,LOEx_a2PV0g,258.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Card | Thunderclap Spark (Zeraora GX) | Booster BOX Opening! TCG,2e1y-JmzZnU,216.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Super Mario Claw Machine,RUAatDC9chY,211.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokémon Mystery Dungeon Diorama Map Collection,R9mN06Dmf_U,207.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pikachu & Kirby Blind Boxes Opening,itpjRZxE0BE,191.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon “The Scream” Museum | Stop Motion (Edvard Munch),rQvV0zQPFaw,188.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Toys Decidueye Incineroar Primarina Evolution Figure Sets | Stop Motion,OZR94z5sIXA,187.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,"Pokemon Figure Collection | HYAKU POKE YAKO Greninja , Mawile , Froslass , Ninetales | 百ポケ夜行 フィギュア",ZUlZgw2jH6c,168.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Detective Pikachu Movie Merchandise - Pokemon Unboxing Video,tPvLvIhe6oE,167.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Legends: Arceus New Goods Unboxing!!,Tux0kUugDr4,162.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Park - Candy Toys 5 Packs Unboxing Opening,RzerKIGQmGQ,157.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Scale World,NwavXJO4lVY,137.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Swing Vignette and Stained Glass Collection | Re-Ment ポケモン リーメント,fD3dNXHu0xE,130.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon the movie: The Power of Us - Merchandise,xWZwol85UF4,108.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Pikachu March,0j1mOYDmmU0,107.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Cafe Tokyo,P-vaEHy_31E,106.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,"Pokemon Build ""BANDAI SHODO 3"" Lucario , Darkrai , Blaziken , Tyranitar　ポケモン 食玩 掌動",FJKIEpqwRbI,106.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Pocket BONSAI,TGmLUfMcYGk,104.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon EXPO GYM,-zCmB9ZlmZU,102.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Folding Screen Collection | Sumi-e Painting | Unboxing Video,ONeVP-txaS8,94.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,"Pokemon Evolutionary Stone | Thunder Stone , Fire Stone , Water Stone",4Sizm8pJh6k,89.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon the movie merchandise - Mewtwo Strikes Back Evolution [Fast Edition],1kYgaIUrVzs,88.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Miniature vending machine and Pokemon capsule toy figures,3pjiP-BGaME,85.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pokemon Dawn Figures Complete - Chibi Dawn,bsbXxGRlkpg,84.0
ALPACO,UCV7bIallVqxmaFbAMqZpIbg,Pikachu Outbreak Festival 2018 - Pokemon Synchronicity in Yokohama,1lAT8VcVY9Y,84.0
